town,county,ZIPcode,Deaths,Population,Deaths_per_100000,SVI
Waterbury,New Haven,6702,23.0,3080.0,746.7532467532468,SVI
Bloomfield,Hartford,6002,55.0,21022.0,261.63067262867474,
Fairfield,Fairfield,6890,11.0,4322.0,254.51180009254975,
Essex,Middlesex,6409,2.0,860.0,232.5581395348837,
Rocky Hill,Hartford,6067,42.0,20168.0,208.25069416898057,
East Windsor,Hartford,6088,9.0,4556.0,197.54170324846356,
Bridgeport,Fairfield,6610,43.0,23172.0,185.5687899188676,SVI
New Britain,Hartford,6052,15.0,8142.0,184.22991893883568,SVI
Hartford,Hartford,6105,34.0,18909.0,179.80855677190755,SVI
Norwalk,Fairfield,6850,31.0,17848.0,173.68892873151054,
Windsor Locks,Hartford,6096,22.0,12671.0,173.6248125641228,
Plainfield,Windham,6387,1.0,605.0,165.28925619834712,
Trumbull,Fairfield,6611,57.0,35990.0,158.37732703528758,
Torrington,Litchfield,6790,53.0,34433.0,153.9221096041588,
Waterbury,New Haven,6705,39.0,25653.0,152.02900245585312,SVI
East Hartford,Hartford,6118,39.0,25834.0,150.96384609429435,SVI
Woodbridge,New Haven,6525,13.0,8827.0,147.27540500736376,
Hartford,Hartford,6112,31.0,21094.0,146.96122120034133,SVI
Hartford,Hartford,6106,55.0,38378.0,143.3112720829642,SVI
West Hartford,Hartford,6117,23.0,16350.0,140.67278287461772,
Stamford,Fairfield,6902,98.0,69946.0,140.10808337860635,SVI
Stamford,Fairfield,6901,10.0,7186.0,139.15947676036737,SVI
Washington,Litchfield,6793,2.0,1453.0,137.64624913971093,
Norwalk,Fairfield,6854,42.0,30855.0,136.12056392805056,SVI
Waterbury,New Haven,6706,19.0,13997.0,135.74337358005286,SVI
West Haven,New Haven,6516,74.0,54763.0,135.12773222796415,SVI
Hartford,Hartford,6120,19.0,14223.0,133.58644449131688,SVI
Bridgeport,Fairfield,6604,36.0,27152.0,132.58691809074838,SVI
Windsor,Hartford,6095,38.0,28894.0,131.51519346577143,
Hamden,New Haven,6514,36.0,27534.0,130.74743952930922,
Stamford,Fairfield,6906,12.0,9244.0,129.81393336218088,
Norwalk,Fairfield,6855,11.0,8540.0,128.8056206088993,
East Hartford,Hartford,6108,31.0,24474.0,126.6650322791534,SVI
